,trip_id,uniqueid,qday,qday1typical,qborough_home,qsurveyzone_home,qtripdaytime,qborough_start,surveyzone_start,qday1tripend,qborough_end,surveyzone_end,qday1tripendcode,qday1triplength_cat,number_of_trips_taken,qgender,qincome,qdisability1,qdisability2,qdisability3,qdisability4,qdisability5,qdisability6,qdisability7,qdisability8,qdisability9,qagecode,qracecode,qeducation,qlicense,qcaraccess,qwelfare1,qwelfare2,qwelfare3,qwelfare4,qwelfare5,qsmartphone,qshare1,qshare2,qshare3,qshare4,qshare5,qshare6,qshare7,qshare8,qtemphigh,qtemplow,qprecipitation,qcitibike,qday1triptravelcode_sp,qmodegrouping,qsustainablemode,allwt,qpurposerecode
0,3101674,101674,Sunday,Very typical,Queens,Middle Queens,NOON,Queens,Outer Queens,Home,Queens,Outer Queens,Home,11 to 15,3.0,Male,"$50,000 - $74,999",No,No,No,Yes,No,No,No,No,No,25-34,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",Yes,I do not have access to a car,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,79.0,58.0,0.0,No,Citi Bike,Bike,Yes,2.269122796,School
1,11202717,10202717,Saturday,Very typical,Queens,Middle Queens,AM,Queens,Middle Queens,Home,Queens,Middle Queens,Home,26 to 30,3.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,66.0,51.0,0.25,No,Personal bicycle,Bike,Yes,0.868686684,Commute to/from work
2,12202717,10202717,Saturday,Very typical,Queens,Middle Queens,NOON,Middle Queens,Middle Queens,Park/Recreational area/Gym,Queens,Middle Queens,Park/Recreational area/Gym,16 to 20,3.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,66.0,51.0,0.25,No,Personal bicycle,Bike,Yes,0.868686684,Social/recreation
3,51200330,50200330,Thursday,Very typical,Queens,Middle Queens,AM,Queens,Middle Queens,Park/Recreational area/Gym,Queens,Middle Queens,Park/Recreational area/Gym,11 to 15,4.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",Yes,I personally own or lease a car,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,73.0,57.0,0.0,No,Personal bicycle,Bike,Yes,2.43311884,Social/recreation
4,52200330,50200330,Thursday,Very typical,Queens,Middle Queens,AM,Queens,Middle Queens,Home,Queens,Middle Queens,Home,11 to 15,4.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",Yes,I personally own or lease a car,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,73.0,57.0,0.0,No,Personal bicycle,Bike,Yes,2.43311884,Social/recreation
5,53200330,50200330,Thursday,Very typical,Queens,Middle Queens,PM,Queens,Middle Queens,Park/Recreational area/Gym,Queens,Middle Queens,Park/Recreational area/Gym,11 to 15,4.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",Yes,I personally own or lease a car,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,73.0,57.0,0.0,No,Personal bicycle,Bike,Yes,2.43311884,Social/recreation
6,54200330,50200330,Thursday,Very typical,Queens,Middle Queens,PM,Queens,Middle Queens,Home,Queens,Middle Queens,Home,11 to 15,4.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",Yes,I personally own or lease a car,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,73.0,57.0,0.0,No,Personal bicycle,Bike,Yes,2.43311884,Social/recreation
7,1100140,100140,Sunday,Very typical,Manhattan,Manhattan Core,AM,Manhattan,Manhattan Core,Home,Manhattan,Manhattan Core,Home,41 to 45,3.0,Male,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,45-54,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,77.0,54.0,0.0,Yes,Citi Bike,Bike,Yes,0.363798756,Social/recreation
8,1101712,101712,Sunday,Very typical,The Bronx,Southern Bronx,AM,The Bronx,Northern Bronx,"Retail store (e.g. clothing, electronic, hardware, etc.)",The Bronx,Southern Bronx,"Retail store (e.g. clothing, electronic, hardware, etc.)",0 to 5,1.0,Male,"$25,000 - $34,999",No,Yes,No,No,No,No,No,No,No,18-24,Hispanic,Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,79.0,58.0,0.0,No,Citi Bike,Bike,Yes,0.443751382,Commute to/from work
9,1102096,102096,Sunday,Very typical,The Bronx,Southern Bronx,AM,The Bronx,Southern Bronx,Park/Recreational area/Gym,The Bronx,Northern Bronx,Park/Recreational area/Gym,11 to 15,1.0,Male,"$25,000 - $34,999",No,No,No,No,No,No,Yes,No,No,18-24,Hispanic,Some college but degree not received or in progress,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,69.0,56.0,0.0,No,Personal bicycle,Bike,Yes,0.443751382,Social/recreation
10,1102138,102138,Sunday,Very typical,Staten Island,Staten Island,NOON,Staten Island,Staten Island,"Retail store (e.g. clothing, electronic, hardware, etc.)",Staten Island,Staten Island,"Retail store (e.g. clothing, electronic, hardware, etc.)",6 to 10,1.0,Male,"Less than $14,999",No,No,Yes,No,No,No,No,No,No,45-54,"Black, Non-Hispanic",Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,69.0,56.0,0.0,No,Personal bicycle,Bike,Yes,0.420719809,Shopping
11,1103058,103058,Monday,Very typical,Queens,Inner Queens,AM,Queens,Inner Queens,Work,Manhattan,Manhattan Core,Work,26 to 30,2.0,Male,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,45-54,"Asian, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,75.0,58.0,0.0,No,Personal bicycle,Bike,Yes,0.782680563,Commute to/from work
12,1103224,103224,Tuesday,Very typical,Manhattan,Northern Manhattan,AM,Manhattan,Manhattan Core,Work,Manhattan,Manhattan Core,Work,16 to 20,1.0,Male,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,71.0,58.0,0.0,No,Personal bicycle,Bike,Yes,0.36250539200000004,Business
13,1103291,103291,Wednesday,Very typical,Manhattan,Northern Manhattan,AM,Manhattan,Northern Manhattan,Work,Manhattan,Northern Manhattan,Work,16 to 20,2.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,35-44,"Asian, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,71.0,60.0,0.0,No,Personal bicycle,Bike,Yes,0.5876291229999999,Commute to/from work
14,1103836,103836,Monday,Very typical,Staten Island,Staten Island,AM,Staten Island,Staten Island,Other,Staten Island,Staten Island,Other,6 to 10,5.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal bicycle,Bike,Yes,0.082747367,Commute to/from work
15,2100140,100140,Sunday,Very typical,Manhattan,Manhattan Core,NOON,Manhattan,Manhattan Core,Work,Manhattan,Manhattan Core,Work,21 to 25,3.0,Male,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,45-54,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,77.0,54.0,0.0,Yes,Citi Bike,Bike,Yes,0.363798756,Commute to/from work
16,2103058,103058,Monday,Very typical,Queens,Inner Queens,PM,Manhattan,Manhattan Core,Home,Queens,Inner Queens,Home,26 to 30,2.0,Male,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,45-54,"Asian, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,75.0,58.0,0.0,No,Personal bicycle,Bike,Yes,0.782680563,Commute to/from work
17,2103291,103291,Wednesday,Very typical,Manhattan,Northern Manhattan,PM,Manhattan,Northern Manhattan,Home,Manhattan,Northern Manhattan,Home,16 to 20,2.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,35-44,"Asian, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,71.0,60.0,0.0,No,Personal bicycle,Bike,Yes,0.5876291229999999,Commute to/from work
18,2103639,103639,Saturday,Very typical,The Bronx,Northern Bronx,AM,The Bronx,Southern Bronx,Park/Recreational area/Gym,The Bronx,Southern Bronx,Park/Recreational area/Gym,61 to 180,2.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,25-34,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,73.0,58.0,0.01,No,Personal bicycle,Bike,Yes,0.172997652,Accompanying other traveler
19,3100140,100140,Sunday,Very typical,Manhattan,Manhattan Core,NOON,Manhattan,Manhattan Core,Home,Manhattan,Manhattan Core,Home,26 to 30,3.0,Male,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,45-54,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,77.0,54.0,0.0,Yes,Citi Bike,Bike,Yes,0.363798756,Commute to/from work
20,3103836,103836,Monday,Very typical,Staten Island,Staten Island,AM,Manhattan,Manhattan Core,Work,Manhattan,Manhattan Core,Work,31 to 35,5.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal bicycle,Bike,Yes,0.082747367,Commute to/from work
21,4100749,100749,Wednesday,Very typical,Brooklyn,Inner Brooklyn,PM,Brooklyn,Inner Brooklyn,Other,Brooklyn,Inner Brooklyn,Other,6 to 10,5.0,Female,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,35-44,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,71.0,56.0,0.22,No,Personal bicycle,Bike,Yes,1.168061244,Other
22,4103836,103836,Monday,Very typical,Staten Island,Staten Island,NOON,Manhattan,Manhattan Core,"Entertainment event (i.e. sporting event, play, etc.)",Manhattan,Manhattan Core,"Entertainment event (i.e. sporting event, play, etc.)",21 to 25,5.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal bicycle,Bike,Yes,0.082747367,Social/recreation
23,5100749,100749,Wednesday,Very typical,Brooklyn,Inner Brooklyn,PM,Brooklyn,Inner Brooklyn,Home,Brooklyn,Inner Brooklyn,Home,6 to 10,5.0,Female,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,35-44,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,71.0,56.0,0.22,No,Personal bicycle,Bike,Yes,1.168061244,Other
24,5105414,105414,Sunday,Very typical,The Bronx,Northern Bronx,NOON,Queens,Outer Queens,"Grocery store or market (including deli, bodega, etc.)",Manhattan,Manhattan Core,"Grocery store or market (including deli, bodega, etc.)",36 to 40,9.0,Male,"$35,000 - $49,999",No,No,No,Yes,No,No,No,No,No,18-24,Hispanic,Some college but degree not received or in progress,No,I do not have access to a car,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,2.0,2.0,2.0,No,Personal bicycle,Bike,Yes,0.7369425140000001,Commute to/from work
25,11200646,10200646,Tuesday,Not very typical,Queens,Outer Queens,AM,Outer Queens,Outer Queens,Other,Queens,Outer Queens,Other,11 to 15,2.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,35-44,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,64.0,56.0,0.34,No,Personal bicycle,Bike,Yes,0.888532335,Social/recreation
26,11200778,10200778,Thursday,Very typical,Brooklyn,Inner Brooklyn,AM,Brooklyn,Inner Brooklyn,Friend or family member's home,Brooklyn,Inner Brooklyn,Friend or family member's home,31 to 35,5.0,Male,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,45-54,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,67.0,56.0,0.0,Yes,Personal bicycle,Bike,Yes,0.917171928,Social/recreation
27,11200820,10200820,Thursday,Not very typical,Brooklyn,Outer Brooklyn,AM,Brooklyn,Outer Brooklyn,School,Brooklyn,Outer Brooklyn,School,6 to 10,6.0,Male,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,18-24,"White, Non-Hispanic",Some high school,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,67.0,56.0,0.0,No,Personal bicycle,Bike,Yes,2.417228877,School
28,11201142,10201142,Saturday,Somewhat typical,Manhattan,Manhattan Core,AM,Manhattan Core,Manhattan Core,Work,Manhattan,Manhattan Core,Work,31 to 35,6.0,Male,Refused,No,No,No,No,No,No,Yes,No,No,65 or older,"Don't know, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,81.0,56.0,0.0,No,Personal bicycle,Bike,Yes,0.45666135399999996,Commute to/from work
29,11202001,10202001,Monday,Very typical,Manhattan,Manhattan Core,AM,Manhattan,Manhattan Core,Other,Manhattan,Manhattan Core,Other,16 to 20,1.0,Male,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,55-64,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,89.0,63.0,0.0,Yes,Personal bicycle,Bike,Yes,0.777620833,Social/recreation
30,11203715,10203715,Thursday,Very typical,The Bronx,Northern Bronx,AM,Northern Bronx,Northern Bronx,Work,Manhattan,Northern Bronx,Work,61 to 180,2.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,65 or older,Hispanic,"High school graduate or equivalent (i.e., GED)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,82.0,60.0,0.0,No,Electric bicycle,Bike,Yes,1.5370963869999998,Commute to/from work
31,12200646,10200646,Tuesday,Not very typical,Queens,Outer Queens,AM,Queens,Outer Queens,Home,Queens,Outer Queens,Home,11 to 15,2.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,35-44,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,64.0,56.0,0.34,No,Personal bicycle,Bike,Yes,0.888532335,Commute to/from work
32,12200820,10200820,Thursday,Not very typical,Brooklyn,Outer Brooklyn,PM,Brooklyn,Outer Brooklyn,Home,Brooklyn,Outer Brooklyn,Home,11 to 15,6.0,Male,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,18-24,"White, Non-Hispanic",Some high school,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,67.0,56.0,0.0,No,Personal bicycle,Bike,Yes,2.417228877,School
33,12201142,10201142,Saturday,Somewhat typical,Manhattan,Manhattan Core,PM,Manhattan,Manhattan Core,Home,Manhattan,Manhattan Core,Home,31 to 35,6.0,Male,Refused,No,No,No,No,No,No,Yes,No,No,65 or older,"Don't know, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,81.0,56.0,0.0,No,Personal bicycle,Bike,Yes,0.45666135399999996,Commute to/from work
34,12202276,10202276,Wednesday,Somewhat typical,Queens,Inner Queens,NOON,Queens,Inner Queens,Park/Recreational area/Gym,Queens,Inner Queens,Park/Recreational area/Gym,26 to 30,5.0,Female,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,25-34,Hispanic,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,68.0,63.0,0.1,No,Personal bicycle,Bike,Yes,0.7177818429999999,Social/recreation
35,13200820,10200820,Thursday,Not very typical,Brooklyn,Outer Brooklyn,PM,Brooklyn,Outer Brooklyn,Park/Recreational area/Gym,Brooklyn,Outer Brooklyn,Park/Recreational area/Gym,26 to 30,6.0,Male,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,18-24,"White, Non-Hispanic",Some high school,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,67.0,56.0,0.0,No,Personal bicycle,Bike,Yes,2.417228877,Social/recreation
