,trip_id,uniqueid,qday,qday1typical,qborough_home,qsurveyzone_home,qtripdaytime,qborough_start,surveyzone_start,qday1tripend,qborough_end,surveyzone_end,qday1tripendcode,qday1triplength_cat,number_of_trips_taken,qgender,qincome,qdisability1,qdisability2,qdisability3,qdisability4,qdisability5,qdisability6,qdisability7,qdisability8,qdisability9,qagecode,qracecode,qeducation,qlicense,qcaraccess,qwelfare1,qwelfare2,qwelfare3,qwelfare4,qwelfare5,qsmartphone,qshare1,qshare2,qshare3,qshare4,qshare5,qshare6,qshare7,qshare8,qtemphigh,qtemplow,qprecipitation,qcitibike,qday1triptravelcode_sp,qmodegrouping,qsustainablemode,allwt,qpurposerecode,Cluster,PC1_2d,PC2_2d
14,1103836,103836,Monday,Very typical,Staten Island,Staten Island,AM,Staten Island,Staten Island,Other,Staten Island,Staten Island,Other,6 to 10,5.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal bicycle,Bike,Yes,0.082747367,Commute to/from work,1,5.031383955838211,0.1611091798267317
20,3103836,103836,Monday,Very typical,Staten Island,Staten Island,AM,Manhattan,Manhattan Core,Work,Manhattan,Manhattan Core,Work,31 to 35,5.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal bicycle,Bike,Yes,0.082747367,Commute to/from work,1,5.0672913836652,0.20109638316738865
22,4103836,103836,Monday,Very typical,Staten Island,Staten Island,NOON,Manhattan,Manhattan Core,"Entertainment event (i.e. sporting event, play, etc.)",Manhattan,Manhattan Core,"Entertainment event (i.e. sporting event, play, etc.)",21 to 25,5.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal bicycle,Bike,Yes,0.082747367,Social/recreation,1,5.1021195537175945,0.7148981553985839
24,5105414,105414,Sunday,Very typical,The Bronx,Northern Bronx,NOON,Queens,Outer Queens,"Grocery store or market (including deli, bodega, etc.)",Manhattan,Manhattan Core,"Grocery store or market (including deli, bodega, etc.)",36 to 40,9.0,Male,"$35,000 - $49,999",No,No,No,Yes,No,No,No,No,No,18-24,Hispanic,Some college but degree not received or in progress,No,I do not have access to a car,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,2.0,2.0,2.0,No,Personal bicycle,Bike,Yes,0.7369425140000001,Commute to/from work,1,5.1599695250071385,2.142711827959268
41,15204136,10204136,Monday,Somewhat typical,Manhattan,Manhattan Core,AM,Manhattan,Manhattan Core,"Grocery store or market (including deli, bodega, etc.)",Manhattan,Manhattan Core,"Grocery store or market (including deli, bodega, etc.)",6 to 10,12.0,Male,Refused,No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Citi Bike,Bike,Yes,0.45671583,Shopping,1,5.060176735877242,3.6796158190062607
42,16204136,10204136,Monday,Somewhat typical,Manhattan,Manhattan Core,AM,Manhattan,Manhattan Core,Work,Manhattan,Manhattan Core,Work,21 to 25,12.0,Male,Refused,No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Citi Bike,Bike,Yes,0.45671583,Commute to/from work,1,5.020830318759151,3.428169056831668
43,20204136,10204136,Monday,Somewhat typical,Manhattan,Manhattan Core,NOON,Manhattan,Manhattan Core,Other,Manhattan,Manhattan Core,Other,31 to 35,12.0,Male,Refused,No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Citi Bike,Bike,Yes,0.45671583,Social/recreation,1,5.042958301595006,3.9379493359532813
71,53203033,50203033,Monday,Very typical,Brooklyn,Outer Brooklyn,AM,Brooklyn,Outer Brooklyn,Doctor's office or hospital,Brooklyn,Outer Brooklyn,Doctor's office or hospital,26 to 30,5.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,35-44,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,2.0,2.0,2.0,No,Personal bicycle,Bike,Yes,0.7506437020000001,Medical visit (doctor's office),1,4.940616170802506,0.14677365743804274
73,54203033,50203033,Monday,Very typical,Brooklyn,Outer Brooklyn,AM,Brooklyn,Outer Brooklyn,"Grocery store or market (including deli, bodega, etc.)",Brooklyn,Outer Brooklyn,"Grocery store or market (including deli, bodega, etc.)",26 to 30,5.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,35-44,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,2.0,2.0,2.0,No,Personal bicycle,Bike,Yes,0.7506437020000001,Shopping,1,4.959331824219039,0.16681258560260062
75,55203033,50203033,Monday,Very typical,Brooklyn,Outer Brooklyn,NOON,Brooklyn,Outer Brooklyn,Home,Brooklyn,Outer Brooklyn,Home,26 to 30,5.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,35-44,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,2.0,2.0,2.0,No,Personal bicycle,Bike,Yes,0.7506437020000001,Personal errands,1,4.9685075428864245,0.6183534762839255
