,trip_id,uniqueid,qday,qday1typical,qborough_home,qsurveyzone_home,qtripdaytime,qborough_start,qntacode_start,surveyzone_start,qday1tripend,qborough_end,qntacode_end,surveyzone_end,qday1tripendcode,qday1triplength_cat,number_of_trips_taken,qgender,qincome,qdisability1,qdisability2,qdisability3,qdisability4,qdisability5,qdisability6,qdisability7,qdisability8,qdisability9,qagecode,qracecode,qeducation,qlicense,qcaraccess,qwelfare1,qwelfare2,qwelfare3,qwelfare4,qwelfare5,qsmartphone,qshare1,qshare2,qshare3,qshare4,qshare5,qshare6,qshare7,qshare8,qtemphigh,qtemplow,qprecipitation,qcitibike,qday1triptravelcode_sp,qmodegrouping,qsustainablemode,allwt,qpurposerecode,ntacode_home
0,3101674,101674,Sunday,NA,Queens,Middle Queens,NOON,Queens,QN43,Outer Queens,Home,Queens,QN76,Outer Queens,Home,11 to 15,3 trips,Male,"$50,000 - $74,999",No,No,No,Yes,No,No,No,No,No,25-34,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",Yes,I do not have access to a car,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,79,58,0,No,Citi Bike,Bike,Yes,2.269122796,School,
1,11202717,10202717,Saturday,Very typical,Queens,Middle Queens,AM,Queens,,NA,Home,NA,,NA,Home,26 to 30,3 trips,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,66,51,0.25,No,Personal bicycle,Bike,Yes,0.868686684,Commute to/from work,
2,12202717,10202717,Saturday,Very typical,Queens,Middle Queens,NOON,NA,,NA,Park/Recreational area/Gym,Queens,,NA,Park/Recreational area/Gym,16 to 20,3 trips,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,66,51,0.25,No,Personal bicycle,Bike,Yes,0.868686684,Social/recreation,
3,51200330,50200330,Thursday,Very typical,Queens,Middle Queens,AM,Queens,,Middle Queens,Park/Recreational area/Gym,Queens,,Middle Queens,Park/Recreational area/Gym,11 to 15,4 trips,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",Yes,I personally own or lease a car,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,73,57,0,No,Personal bicycle,Bike,Yes,2.43311884,Social/recreation,QN60
4,52200330,50200330,Thursday,Very typical,Queens,Middle Queens,AM,Queens,,Middle Queens,Home,Queens,,Middle Queens,Home,11 to 15,4 trips,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",Yes,I personally own or lease a car,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,73,57,0,No,Personal bicycle,Bike,Yes,2.43311884,Social/recreation,QN60
5,53200330,50200330,Thursday,Very typical,Queens,Middle Queens,PM,Queens,,Middle Queens,Park/Recreational area/Gym,Queens,,Middle Queens,Park/Recreational area/Gym,11 to 15,4 trips,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",Yes,I personally own or lease a car,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,73,57,0,No,Personal bicycle,Bike,Yes,2.43311884,Social/recreation,QN60
6,54200330,50200330,Thursday,Very typical,Queens,Middle Queens,PM,Queens,,Middle Queens,Home,Queens,,Middle Queens,Home,11 to 15,4 trips,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",Yes,I personally own or lease a car,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,73,57,0,No,Personal bicycle,Bike,Yes,2.43311884,Social/recreation,QN60
7,1100140,100140,Sunday,NA,Manhattan,Manhattan Core,AM,Manhattan,MN15,Manhattan Core,Home,Manhattan,MN13,Manhattan Core,Home,41 to 45,3 trips,Male,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,45-54,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,77,54,0,Yes,Citi Bike,Bike,Yes,0.363798756,Social/recreation,
8,1101712,101712,Sunday,NA,The Bronx,Southern Bronx,AM,The Bronx,BX08,Northern Bronx,"Retail store (e.g. clothing, electronic, hardware, etc.)",The Bronx,BX01,Southern Bronx,"Retail store (e.g. clothing, electronic, hardware, etc.)",0 to 5,1 trip,Male,"$25,000 - $34,999",No,Yes,No,No,No,No,No,No,No,18-24,Hispanic,Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,79,58,0,No,Citi Bike,Bike,Yes,0.443751382,Commute to/from work,
9,1102096,102096,Sunday,NA,The Bronx,Southern Bronx,AM,The Bronx,BX75,Southern Bronx,Park/Recreational area/Gym,The Bronx,BX49,Northern Bronx,Park/Recreational area/Gym,11 to 15,1 trip,Male,"$25,000 - $34,999",No,No,No,No,No,No,Yes,No,No,18-24,Hispanic,Some college but degree not received or in progress,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,69,56,0,No,Personal bicycle,Bike,Yes,0.443751382,Social/recreation,
