,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars)
1,59764
2,88604
3,63877
4,55484
5,77359
6,80761
7,94449
8,74251
9,98498
10,61289
11,65018
12,86768
13,63182
14,76950
15,66032
16,72351
17,70792
18,59023
19,57490
20,68277
21,95336
22,95207
23,67330
24,83344
25,52672
26,65058
27,66288
28,73488
29,65384
30,86696
31,94546
32,56802
33,77379
34,62289
35,79530
36,66722
37,61633
38,70929
39,72313
40,77940
41,61535
42,70853
43,60659
44,67025
45,74181
46,74805
47,83306
48,81234
49,56703
50,72891
51,73574
