GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0400000US01,01,Alabama,0.4729,0.0018
0400000US02,02,Alaska,0.4143,0.0039
0400000US04,04,Arizona,0.4585,0.0019
0400000US05,05,Arkansas,0.4646,0.0031
0400000US06,06,California,0.4782,0.0007
0400000US08,08,Colorado,0.4568,0.0019
0400000US09,09,Connecticut,0.4874,0.0021
0400000US10,10,Delaware,0.4410,0.0037
0400000US11,11,District of Columbia,0.5303,0.0048
0400000US12,12,Florida,0.4782,0.0014
0400000US13,13,Georgia,0.4749,0.0013
0400000US15,15,Hawaii,0.4313,0.0033
0400000US16,16,Idaho,0.4318,0.0034
0400000US17,17,Illinois,0.4714,0.0014
0400000US18,18,Indiana,0.4432,0.0019
0400000US19,19,Iowa,0.4326,0.0023
0400000US20,20,Kansas,0.4481,0.0021
0400000US21,21,Kentucky,0.4679,0.0021
0400000US22,22,Louisiana,0.4802,0.0023
0400000US23,23,Maine,0.4430,0.0036
0400000US24,24,Maryland,0.4471,0.0018
0400000US25,25,Massachusetts,0.4770,0.0018
0400000US26,26,Michigan,0.4580,0.0011
0400000US27,27,Minnesota,0.4423,0.0015
0400000US28,28,Mississippi,0.4753,0.0025
0400000US29,29,Missouri,0.4576,0.0019
0400000US30,30,Montana,0.4442,0.0044
0400000US31,31,Nebraska,0.4389,0.0029
0400000US32,32,Nevada,0.4469,0.0030
0400000US33,33,New Hampshire,0.4326,0.0036
0400000US34,34,New Jersey,0.4702,0.0014
0400000US35,35,New Mexico,0.4691,0.0033
0400000US36,36,New York,0.5022,0.0013
0400000US37,37,North Carolina,0.4686,0.0016
0400000US38,38,North Dakota,0.4487,0.0043
0400000US39,39,Ohio,0.4577,0.0013
0400000US40,40,Oklahoma,0.4603,0.0022
0400000US41,41,Oregon,0.4539,0.0019
0400000US42,42,Pennsylvania,0.4631,0.0011
0400000US44,44,Rhode Island,0.4675,0.0039
0400000US45,45,South Carolina,0.4647,0.0019
0400000US46,46,South Dakota,0.4409,0.0051
0400000US47,47,Tennessee,0.4717,0.0019
0400000US48,48,Texas,0.4751,0.0010
0400000US49,49,Utah,0.4215,0.0029
0400000US50,50,Vermont,0.4383,0.0049
0400000US51,51,Virginia,0.4624,0.0013
0400000US53,53,Washington,0.4466,0.0016
0400000US54,54,West Virginia,0.4623,0.0033
0400000US55,55,Wisconsin,0.4367,0.0018
0400000US56,56,Wyoming,0.4158,0.0054
0400000US72,72,Puerto Rico,0.5359,0.0028
