State,mean_gini,mean_medians,share_unemployed_seasonal,share_population_in_metro_areas,share_population_with_high_school_degree,share_white_poverty,share_non_white,share_voters_voted_trump,share_hate_crimes_per_pop
Alabama,0.4753399999999999,57249.0,0.06,0.64,0.821,0.12,0.35,0.63,6.904916666666666e-06
Alaska,0.41648,85900.6,0.064,0.63,0.914,0.06,0.42,0.53,9.9819e-06
Arizona,0.46444,61933.6,0.063,0.9,0.8420000000000001,0.09,0.49,0.5,3.384386666666667e-05
Arkansas,0.46898,53459.4,0.052000000000000005,0.69,0.8240000000000001,0.12,0.26,0.6,4.270966666666667e-06
California,0.48464,74437.2,0.059,0.97,0.8059999999999999,0.09,0.61,0.33,2.3540116666666665e-05
Colorado,0.45846,78302.2,0.04,0.8,0.893,0.07,0.31,0.44,2.041073333333333e-05
Connecticut,0.4924000000000001,90817.8,0.052000000000000005,0.94,0.8859999999999999,0.06,0.3,0.41,3.179038333333333e-05
Delaware,0.4472600000000001,73650.4,0.049,0.9,0.8740000000000001,0.08,0.37,0.42,1.683543333333333e-05
District of Columbia,0.5312600000000001,91260.6,0.067,1.0,0.871,0.04,0.63,0.04,0.00017741143333333334
Florida,0.48294,59523.4,0.052000000000000005,0.96,0.853,0.11,0.46,0.49,7.519766666666665e-06
Georgia,0.47924,62118.8,0.058,0.82,0.8390000000000001,0.09,0.48,0.51,4.94625e-06
Hawaii,0.43458,84310.8,0.034,0.76,0.904,0.07,0.81,0.3,
Idaho,0.44092,60343.6,0.042,0.7,0.884,0.11,0.16,0.59,1.9360516666666665e-05
Illinois,0.47622,74271.0,0.054000000000000006,0.9,0.8640000000000001,0.07,0.37,0.39,8.238550000000001e-06
Indiana,0.44728,63498.0,0.044,0.79,0.866,0.12,0.2,0.57,2.218773333333333e-05
Iowa,0.43838,70252.8,0.036000000000000004,0.6,0.914,0.09,0.15,0.52,3.5500333333333337e-06
Kansas,0.45298,68728.8,0.044,0.64,0.897,0.11,0.25,0.57,2.446195e-05
Kentucky,0.4719,57253.8,0.05,0.56,0.8170000000000001,0.17,0.15,0.63,5.0621549999999986e-05
Louisiana,0.48662,57881.6,0.06,0.81,0.8220000000000001,0.12,0.42,0.58,7.886833333333332e-06
Maine,0.4496,65464.8,0.044,0.54,0.902,0.12,0.09,0.45,2.289948333333333e-05
Maryland,0.44974,92435.6,0.051,0.97,0.89,0.06,0.5,0.35,6.7165e-06
Massachusetts,0.48094,91263.8,0.046,0.97,0.89,0.08,0.27,0.34,5.819906666666666e-05
Michigan,0.4619999999999999,64775.2,0.05,0.87,0.879,0.09,0.24,0.48,3.7823916666666666e-05
Minnesota,0.44706,80541.2,0.038,0.75,0.915,0.05,0.18,0.45,2.35402e-05
Mississippi,0.47754,51294.2,0.061,0.45,0.804,0.14,0.44,0.58,3.9622e-06
Missouri,0.4612,63083.4,0.053,0.78,0.868,0.07,0.2,0.57,1.472035e-05
Montana,0.45318,64021.6,0.041,0.34,0.908,0.1,0.1,0.57,2.420688333333333e-05
Nebraska,0.4408,70104.4,0.029,0.6,0.898,0.07,0.21,0.6,2.0150533333333333e-05
Nevada,0.45043999999999995,63430.4,0.067,0.87,0.8390000000000001,0.08,0.5,0.46,1.4627333333333331e-05
New Hampshire,0.43446,84365.0,0.034,0.63,0.913,0.06,0.09,0.47,1.3541366666666665e-05
New Jersey,0.4753200000000001,91187.2,0.056,1.0,0.8740000000000001,0.07,0.44,0.42,4.5073599999999995e-05
New Mexico,0.4738600000000001,56117.4,0.068,0.69,0.828,0.1,0.62,0.4,2.106495e-05
New York,0.50768,74589.4,0.051,0.94,0.847,0.1,0.42,0.37,2.8292550000000007e-05
North Carolina,0.4726400000000001,60363.6,0.058,0.76,0.843,0.1,0.38,0.51,1.4399900000000006e-05
North Dakota,0.45548,78021.2,0.028,0.5,0.901,0.09,0.15,0.64,3.599488333333333e-05
Ohio,0.46172,64972.0,0.045,0.75,0.8759999999999999,0.1,0.21,0.52,4.0137183333333336e-05
Oklahoma,0.4637600000000001,59736.8,0.044,0.59,0.856,0.1,0.35,0.65,8.691983333333334e-06
Oregon,0.45906,66971.0,0.062,0.87,0.8909999999999999,0.1,0.26,0.41,3.012183333333333e-05
Pennsylvania,0.46658,70570.8,0.053,0.87,0.879,0.09,0.24,0.49,5.058283333333334e-06
Rhode Island,0.472,76388.0,0.054000000000000006,1.0,0.847,0.08,0.28,0.4,1.0256600000000001e-05
South Carolina,0.46748,58885.2,0.057,0.79,0.836,0.09,0.36,0.55,1.2789466666666667e-05
South Dakota,0.44248000000000004,67993.4,0.035,0.51,0.899,0.08,0.17,0.62,2.158435e-05
